,month,hour,zone_hours,requests,fulfilled,unfulfilled,mean_online_per_zone_hour,fulfilment_rate,request_weighted_eta_min,request_weighted_surge
0,2026-05,0,62,4633,1529,3104,13.0,0.33002374271530327,9.477377509173323,2.0645888193395208
1,2026-05,1,62,5772,1618,4154,13.080645161290322,0.2803187803187803,9.856897089397089,2.1397418572418574
2,2026-05,2,62,4928,1586,3342,13.5,0.3218344155844156,9.56965706168831,2.068325892857143
3,2026-05,3,62,3152,1539,1613,13.709677419354838,0.48826142131979694,7.905916878172589,1.7791592639593907
4,2026-05,4,62,2384,1661,723,14.85483870967742,0.6967281879194631,6.3306711409395975,1.471623322147651
5,2026-05,5,62,2680,1993,687,18.0,0.7436567164179104,5.8596641791044775,1.3932723880597013
6,2026-05,6,62,3520,2565,955,22.677419354838708,0.7286931818181818,5.866431818181818,1.4248181818181818
7,2026-05,7,62,3763,3123,640,29.258064516129032,0.8299229338293914,4.8636832314642575,1.2529205421206484
8,2026-05,8,62,3434,3259,175,38.61290322580645,0.9490390215492137,3.7378421665695982,1.0781071636575421
9,2026-05,9,62,2661,2599,62,46.854838709677416,0.9767004885381435,3.7521570838030813,1.0396580232995116
10,2026-05,10,62,1942,1880,62,56.38709677419355,0.9680741503604532,3.730200823892894,1.0350823892893923
11,2026-05,11,62,1494,1432,62,59.29032258064516,0.9585006693440429,3.668915662650602,1.028360107095047
12,2026-05,12,62,1452,1390,62,63.225806451612904,0.9573002754820936,3.649469696969697,1.0418112947658402
13,2026-05,13,62,1380,1318,62,59.88709677419355,0.9550724637681159,3.7198333333333333,1.0385942028985506
14,2026-05,14,62,1406,1344,62,54.46774193548387,0.9559032716927454,3.6747297297297297,1.0418136557610242
15,2026-05,15,62,1373,1311,62,45.83870967741935,0.954843408594319,3.641638747268755,1.037130371449381
16,2026-05,16,62,1340,1278,62,36.516129032258064,0.9537313432835821,3.6762537313432837,1.0423208955223882
17,2026-05,17,62,1360,1298,62,29.387096774193548,0.9544117647058824,3.573779411764706,1.031389705882353
18,2026-05,18,62,1387,1324,63,22.193548387096776,0.9545782263878875,3.526676279740447,1.0436265320836338
19,2026-05,19,62,1528,1420,108,17.403225806451612,0.9293193717277487,3.723821989528796,1.0771858638743457
20,2026-05,20,62,2207,1610,597,15.725806451612904,0.729497054825555,5.602233801540552,1.4045491617580426
21,2026-05,21,62,3721,1510,2211,13.46774193548387,0.40580489115829077,8.910771298038163,1.9392636388067723
22,2026-05,22,62,5742,1646,4096,13.483870967741936,0.2866597004528039,9.706116335771508,2.1365186346220826
23,2026-05,23,62,6655,1756,4899,12.435483870967742,0.2638617580766341,10.108874530428249,2.15070022539444
24,2026-06,0,60,4491,1404,3087,12.183333333333334,0.312625250501002,9.660572255622355,2.08769984413271
25,2026-06,1,60,5516,1525,3991,12.6,0.27646845540246556,9.866589920232052,2.1577973168963016
26,2026-06,2,60,4572,1487,3085,12.916666666666666,0.3252405949256343,9.674041994750656,2.0695931758530186
27,2026-06,3,60,3038,1377,1661,12.716666666666667,0.4532587228439763,8.303097432521396,1.8531533903884134
28,2026-06,4,60,2334,1558,776,15.116666666666667,0.6675235646958012,6.305235646958012,1.5124550128534706
29,2026-06,5,60,2611,1846,765,17.15,0.7070088088854845,5.978655687476063,1.4559249329758714
30,2026-06,6,60,3256,2267,989,20.983333333333334,0.6962530712530712,6.083138820638821,1.473092751842752
31,2026-06,7,60,3696,3147,549,30.2,0.851461038961039,4.778647186147187,1.2387797619047618
32,2026-06,8,60,3337,3147,190,34.833333333333336,0.9430626311057836,4.157647587653581,1.0821606233143541
33,2026-06,9,60,2486,2426,60,45.266666666666666,0.9758648431214803,3.7666049879324217,1.0333950120675783
34,2026-06,10,60,1857,1797,60,53.233333333333334,0.9676898222940227,3.552062466343565,1.0465912762520193
35,2026-06,11,60,1526,1466,60,59.9,0.9606815203145478,3.667450851900393,1.0431389252948886
36,2026-06,12,60,1363,1303,60,63.25,0.9559794570799707,3.602619222303742,1.0305722670579605
37,2026-06,13,60,1314,1254,60,59.516666666666666,0.954337899543379,3.4801217656012176,1.0389041095890412
38,2026-06,14,60,1282,1222,60,52.766666666666666,0.953198127925117,3.57091263650546,1.0337051482059283
39,2026-06,15,60,1325,1265,60,43.766666666666666,0.9547169811320755,3.7027547169811323,1.0355396226415094
40,2026-06,16,60,1356,1296,60,35.766666666666666,0.9557522123893806,3.6754941002949852,1.0349705014749262
41,2026-06,17,60,1271,1211,60,28.116666666666667,0.9527930763178599,3.6579071597167583,1.028575924468922
42,2026-06,18,60,1314,1249,65,22.966666666666665,0.9505327245053272,3.7418645357686455,1.0321841704718417
43,2026-06,19,60,1446,1350,96,18.916666666666668,0.9336099585062241,3.80417704011065,1.0696749654218534
44,2026-06,20,60,2139,1577,562,15.566666666666666,0.737260402057036,5.696330060776063,1.4139644693782143
45,2026-06,21,60,3572,1436,2136,13.216666666666667,0.40201567749160133,8.767407614781636,1.939585666293393
46,2026-06,22,60,5446,1500,3946,12.55,0.2754315093646713,10.08923797282409,2.153062798384135
47,2026-06,23,60,6352,1657,4695,12.7,0.26086272040302266,9.973685453400504,2.183564231738035
