,night,zone_hours,requests,fulfilled,unfulfilled,mean_online_per_zone_hour,fulfilment_rate,request_weighted_eta_min,request_weighted_surge
1,2026-05-01,14,1165,383,782,14.428571428571429,0.32875536480686696,9.240643776824035,2.0662231759656655
2,2026-05-02,14,1145,335,810,12.571428571428571,0.2925764192139738,9.87425327510917,2.1391004366812227
3,2026-05-03,14,1104,384,720,14.5,0.34782608695652173,9.317871376811594,2.0213949275362317
4,2026-05-04,14,1061,326,735,12.071428571428571,0.3072573044297832,9.853477851083884,2.088727615457116
5,2026-05-05,14,1128,330,798,11.857142857142858,0.2925531914893617,9.869308510638298,2.110168439716312
6,2026-05-06,14,1049,330,719,11.857142857142858,0.3145853193517636,9.566968541468064,2.080467111534795
7,2026-05-07,14,1192,409,783,14.142857142857142,0.34312080536912754,9.367474832214764,2.0310486577181206
8,2026-05-08,14,1218,380,838,13.642857142857142,0.31198686371100165,9.626461412151068,2.056896551724138
9,2026-05-09,14,1106,307,799,11.571428571428571,0.27757685352622063,10.118155515370706,2.1492133815551533
10,2026-05-10,14,1044,371,673,13.071428571428571,0.3553639846743295,9.3302969348659,2.014616858237548
11,2026-05-11,14,1098,343,755,12.357142857142858,0.3123861566484517,9.68804189435337,2.0786612021857924
12,2026-05-12,14,1001,363,638,13.428571428571429,0.3626373626373626,9.177472527472528,1.9845854145854145
13,2026-05-13,14,1046,316,730,12.214285714285714,0.30210325047801145,9.631950286806884,2.1160898661567877
14,2026-05-14,14,1220,374,846,13.428571428571429,0.30655737704918035,10.322434426229508,2.0893278688524592
15,2026-05-15,14,1227,376,851,14.285714285714286,0.306438467807661,9.770277098614507,2.0825346373268134
16,2026-05-16,14,1096,366,730,12.857142857142858,0.33394160583941607,9.055748175182481,2.037700729927007
17,2026-05-17,14,1037,331,706,11.928571428571429,0.3191899710703954,9.840144648023143,2.0741176470588236
18,2026-05-18,14,1067,347,720,12.857142857142858,0.3252108716026242,9.46750702905342,2.0786129334582943
19,2026-05-19,14,1104,385,719,15.214285714285714,0.348731884057971,9.123550724637681,2.060543478260869
20,2026-05-20,14,1060,382,678,13.142857142857142,0.360377358490566,8.866283018867925,1.994933962264151
21,2026-05-21,14,1080,338,742,13.785714285714286,0.31296296296296294,9.09024074074074,2.1175
22,2026-05-22,14,1262,417,845,15.071428571428571,0.3304278922345483,9.429080824088748,2.050079239302694
23,2026-05-23,14,1076,380,696,14.5,0.35315985130111527,9.27103159851301,2.0406412639405205
24,2026-05-24,14,1106,341,765,12.428571428571429,0.30831826401446655,9.367432188065099,2.1148101265822783
25,2026-05-25,14,1070,332,738,12.142857142857142,0.3102803738317757,9.782448598130841,2.0900000000000003
26,2026-05-26,14,1022,362,660,12.642857142857142,0.3542074363992172,9.347495107632094,2.023434442270059
27,2026-05-27,14,1065,354,711,13.357142857142858,0.3323943661971831,9.36250704225352,2.039737089201878
28,2026-05-28,14,1208,382,826,12.928571428571429,0.3162251655629139,9.205860927152319,2.073932119205298
29,2026-05-29,14,1254,425,829,15.714285714285714,0.33891547049441784,9.551881977671451,2.018030303030303
30,2026-05-30,14,1161,345,816,12.571428571428571,0.2971576227390181,9.558716623600345,2.101507321274763
31,2026-05-31,14,1011,348,663,12.214285714285714,0.34421364985163205,9.475816023738874,2.0548269040553904
32,2026-06-01,14,1039,342,697,13.0,0.329162656400385,9.128440808469684,2.0744754571703563
33,2026-06-02,14,991,314,677,11.285714285714286,0.3168516649848638,9.596084762865791,2.073329969727548
34,2026-06-03,14,1062,323,739,11.785714285714286,0.3041431261770245,9.561911487758945,2.1061111111111113
35,2026-06-04,14,1155,410,745,14.142857142857142,0.354978354978355,9.10948051948052,2.0035497835497833
36,2026-06-05,14,1197,391,806,14.357142857142858,0.3266499582289056,9.666307435254803,2.049732664995823
37,2026-06-06,14,1146,404,742,14.857142857142858,0.3525305410122164,9.54651832460733,2.008350785340314
38,2026-06-07,14,1061,334,727,12.642857142857142,0.31479736098020733,9.622884071630539,2.087728557964185
