,hour,zone_hours,requests,fulfilled,unfulfilled,mean_online_per_zone_hour,fulfilment_rate,request_weighted_eta_min,request_weighted_surge
0,0,122,9124,2933,6191,12.598360655737705,0.3214598860149057,9.567549320473475,2.0759644892590967
1,1,122,11288,3143,8145,12.844262295081966,0.2784372785258682,9.861633593196315,2.1485648476257975
2,2,122,9500,3073,6427,13.21311475409836,0.3234736842105263,9.619893684210528,2.068935789473684
3,3,122,6190,2916,3274,13.221311475409836,0.47108239095315024,8.100849757673668,1.8154749596122777
4,4,122,4718,3219,1499,14.98360655737705,0.6822806273844849,6.318088172954642,1.4918228062738448
5,5,122,5291,3839,1452,17.581967213114755,0.7255717255717256,5.918384048384048,1.4241901341901342
6,6,122,6776,4832,1944,21.84426229508197,0.7131050767414404,5.970563754427391,1.4480150531286895
7,7,122,7459,6270,1189,29.721311475409838,0.8405952540555034,4.821547124279394,1.2459136613487063
8,8,122,6771,6406,365,36.75409836065574,0.9460936346182248,3.944737852606705,1.0801048589573181
9,9,122,5147,5025,122,46.07377049180328,0.976296871964251,3.7591354186904993,1.0366329900913154
10,10,122,3799,3677,122,54.83606557377049,0.9678862858647013,3.6431245064490656,1.0407080810739668
11,11,122,3020,2898,122,59.59016393442623,0.9596026490066225,3.6681754966887414,1.0358278145695365
12,12,122,2815,2693,122,63.23770491803279,0.9566607460035524,3.626785079928952,1.0363694493783304
13,13,122,2694,2572,122,59.704918032786885,0.9547141796585004,3.6029138827023015,1.0387453600593912
14,14,122,2688,2566,122,53.631147540983605,0.9546130952380952,3.625215773809524,1.0379464285714286
15,15,122,2698,2576,122,44.81967213114754,0.9547813194959229,3.6716530763528543,1.036349147516679
16,16,122,2696,2574,122,36.14754098360656,0.9547477744807121,3.675871661721068,1.0386238872403561
17,17,122,2631,2509,122,28.762295081967213,0.9536297985556822,3.614420372481946,1.0300304066894717
18,18,122,2701,2573,128,22.57377049180328,0.9526101443909664,3.6313624583487596,1.0380599777860053
19,19,122,2974,2770,204,18.147540983606557,0.9314055144586416,3.7628917283120376,1.0735339609952925
20,20,122,4346,3187,1159,15.647540983606557,0.7333179935572941,5.648545789231477,1.409183156925909
21,21,122,7293,2946,4347,13.344262295081966,0.4039489921842863,8.840553955848073,1.9394213629507748
22,22,122,11188,3146,8042,13.024590163934427,0.28119413657490167,9.892609045405791,2.1445718627100465
23,23,122,13007,3413,9594,12.565573770491802,0.26239717075420926,10.04285461674483,2.1667494426078266
